stockDate,predictScore
22/06/19,-0.333
22/06/18,0.5
22/06/17,2.6666
22/06/16,0.8333
22/06/15,-1.833
22/06/14,-2.833
22/06/13,-0.166
22/06/12,-0.166
22/06/11,0.0
22/06/10,-1.666
22/06/09,2.3333
22/06/08,5.1666
22/06/07,2.6666
22/06/06,2.8333
22/06/05,3.6666
22/06/04,5.0
22/06/03,5.1666
22/06/02,2.1666
22/06/01,0.8333
22/05/31,0.8333
22/05/30,-2.666
22/05/29,-3.666
22/05/28,-1.666
22/05/27,-5.166
22/05/26,-5.0
22/05/25,-1.333
22/05/24,0.1666
22/05/23,2.1666
22/05/22,0.8333
22/05/21,-2.333
22/05/20,1.3333
22/05/19,-2.166
22/05/18,0.0
22/05/17,1.8333
22/05/16,0.1666
22/05/15,1.0
22/05/14,-4.833
22/05/13,0.0
22/05/12,0.0
22/05/11,0.1666
22/05/10,-2.166
22/05/09,0.1666
22/05/08,1.0
22/05/07,0.1666
22/05/06,5.6666
22/05/05,4.1666
22/05/04,5.3333
22/05/03,5.8333
